Series_Title,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Gross,Platform
The Hateful Eight,"Crime, Drama, Mystery",7.8,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,"54,117,416",HBO Max
End of Watch,"Action, Crime, Drama",7.6,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,"41,003,371",HBO Max
Avengers: Endgame,"Action, Adventure, Drama",8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"858,373,000",Hulu
Lion,"Biography, Drama",8,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,"51,739,495",Amazon Prime
Snatch,"Comedy, Crime",8.3,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina,"30,328,156",Hulu
Rebecca,"Drama, Mystery, Romance",8.1,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,"4,360,000",Amazon Prime
The Godfather: Part III,"Crime, Drama",7.6,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,"66,666,062",Amazon Prime
Les quatre cents coups,"Crime, Drama",8.1,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,734956,HBO Max
Life of Brian,Comedy,8.1,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,"20,045,115",Netflix
Huo Yuan Jia,"Action, Biography, Drama",7.6,Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,"24,633,730",HBO Max
Kokuhaku,"Drama, Thriller",7.8,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,734956,HBO Max
Cat on a Hot Tin Roof,Drama,8,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,"17,570,324",Netflix
Zelig,Comedy,7.7,Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter,"11,798,616",HBO Max
Raazi,"Action, Drama, Thriller",7.8,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,734956,HBO Max
Once Upon a Time... in Hollywood,"Comedy, Drama",7.6,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,"142,502,728",Hulu
Chung Hing sam lam,"Comedy, Crime, Drama",8.1,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,"600,200",Netflix
Kubo and the Two Strings,"Animation, Action, Adventure",7.8,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,"48,023,088",Disney+
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",8.6,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,"10,055,859",HBO Max
Seppuku,"Action, Drama, Mystery",8.6,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,734956,HBO Max
Once,"Drama, Music, Romance",7.8,John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,"9,439,923",Hulu
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8.8,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"315,544,750",Amazon Prime
Zindagi Na Milegi Dobara,"Comedy, Drama",8.1,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,"3,108,485",HBO Max
Malcolm X,"Biography, Drama, History",7.7,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,"48,169,908",Netflix
Ivanovo detstvo,"Drama, War",8.1,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,734956,Hulu
Ayla: The Daughter of War,"Biography, Drama, History",8.4,Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,734956,Netflix
Patton,"Biography, Drama, War",7.9,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,"61,700,000",Amazon Prime
The Grand Budapest Hotel,"Adventure, Comedy, Crime",8.1,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"59,100,318",HBO Max
Captain Phillips,"Adventure, Biography, Crime",7.8,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,"107,100,855",Disney+
The Man Who Would Be King,"Adventure, History, War",7.8,John Huston,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey,734956,Amazon Prime
Naked,"Comedy, Drama",7.8,Mike Leigh,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,"1,769,305",Amazon Prime
Les yeux sans visage,"Drama, Horror",7.7,Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault,"52,709",Disney+
Mononoke-hime,"Animation, Action, Adventure",8.4,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"2,375,308",Netflix
The Wild Bunch,"Action, Adventure, Western",7.9,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,"12,064,472",Disney+
Amadeus,"Biography, Drama, History",8.3,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,"51,973,029",Hulu
Star Trek,"Action, Adventure, Sci-Fi",7.9,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,"257,730,019",Disney+
The Lunchbox,"Drama, Romance",7.8,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,"4,231,500",Netflix
Le Petit Prince,"Animation, Adventure, Drama",7.7,Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,"1,339,152",Hulu
El ángel exterminador,"Drama, Fantasy",8.1,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,734956,Amazon Prime
Persona,"Drama, Thriller",8.1,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,734956,Disney+
Titanic,"Drama, Romance",7.8,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,"659,325,379",Hulu
Gladiator,"Action, Adventure, Drama",8.5,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"187,705,427",Hulu
La grande bellezza,Drama,7.8,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,"2,852,400",Netflix
Ace in the Hole,"Drama, Film-Noir",8.1,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,"3,969,893",HBO Max
Ferris Bueller's Day Off,Comedy,7.8,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,"70,136,369",Netflix
WALL·E,"Animation, Adventure, Family",8.4,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,"223,808,164",Amazon Prime
Blade Runner,"Action, Sci-Fi, Thriller",8.1,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,"32,868,943",HBO Max
The Lives of Others,"Drama, Mystery, Thriller",8.4,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,"11,286,112",Hulu
The Circus,"Comedy, Romance",8.1,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,734956,HBO Max
The Manchurian Candidate,"Drama, Thriller",7.9,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,734956,Disney+
